likes,comments,,,,
134296,2296,,,,
123913,1970,,,,
102349,650,,,,
112664,618,,,,
136577,1107,,,,
141674,689,,,,
94907,1824,,,,
185875,1623,,,,
101764,540,,,,
102564,1043,,,,
79270,573,,,,
148519,779,,,,
125382,689,,,,                   
100057,824,,,,
69162,646,,,,
107576,345,,,,
180341,4746,,,,
97584,732,,,,
161035,1621,,,,
104149,415,,,,
